OBJECTID,L0Continuum_of_Care_Grantee_Are,COCNUM,COCCAT,TOT_18,SH_ES_18,SH_TH_18,SH_SH_18,SH_TOT_18,UNSH_TOT_18,IND_TOT_18,SH_ES_IND_18,SH_TH_IND_18,SH_SH_IND_18,SH_TOT_IND_18,UNSH_IND_18,PFAM_TOT_18,SH_ES_PFAM_18,SH_TH_PFAM_18,SH_TOT_PFAM_18,UNSH_PFAM_18,FAM_TOT_18,SH_ES_FAM_18,SH_TH_FAM_18,SH_TOT_FAM_18,UNSH_FAM_18,CH_TOT_18,SH_ES_CH_18,SH_SH_CH_18,SH_TOT_CH_18,UNSH_CH_18,CH_IND_TOT_18,SH_ES_CH_IND_18,SH_SH_CH_IND_18,SH_TOT_CH_IND_18,UNSH_CH_IND_18,CH_PFAM_TOT_18,SH_ES_CH_PFAM_18,SH_TOT_CH_PFAM_18,UNSH_CH_PFAM_18,VETS_TOT_18,SH_ES_VETS_18,SH_TH_VETS_18,SH_SH_VETS_18,SH_TOT_VETS_18,UNSH_VETS_18,UY_TOT_18,SH_ES_UY_18,SH_TH_UY_18,SH_SH_UY_18,SH_TOT_UY_18,UNSH_UY_18,UYLT18_TOT_18,SH_ES_UYLT18_18,SH_TH_UYLT18_18,SH_SH_UYLT18_18,SH_TOT_UYLT18_18,UNSH_UYLT18_18,UY1824_TOT_18,SH_ES_UY1824_18,SH_TH_UY1824_18,SH_SH_UY1824_18,SH_TOT_UY1824_18,UNSH_UY1824_18,PY_TOT_18,SH_ES_PY_18,SH_TH_PY_18,SH_TOT_PY_18,UNSH_PY_18,PYLT18_TOT_18,SH_ES_PYLT18_18,SH_TH_PYLT18_18,SH_TOT_PYLT18_18,UNSH_PYLT18_18,PY1824_TOT_18,SH_ES_PY1824_18,SH_TH_PY1824_18,SH_TOT_PY1824_18,UNSH_PY1824_18,CPY_TOT_18,SH_ES_CPY_18,SH_TH_CPY_18,SH_TOT_CPY_18,UNSH_CPY_18,TOT_13,SH_ES_13,SH_TH_13,SH_SH_13,SH_TOT_13,UNSH_TOT_13,IND_TOT_13,SH_ES_IND_13,SH_TH_IND_13,SH_SH_IND_13,SH_TOT_IND_13,UNSH_IND_13,PFAM_TOT_13,SH_ES_PFAM_13,SH_TH_PFAM_13,SH_TOT_PFAM_13,UNSH_PFAM_13,FAM_TOT_13,SH_ES_FAM_13,SH_TH_FAM_13,SH_TOT_FAM_13,UNSH_FAM_13,CH_TOT_13,SH_ES_CH_13,SH_SH_CH_13,SH_TOT_CH_13,UNSH_CH_13,CH_IND_TOT_13,SH_ES_CH_IND_13,SH_SH_CH_IND_13,SH_TOT_CH_IND_13,UNSH_CH_IND_13,CH_PFAM_TOT_13,SH_ES_CH_PFAM_13,SH_TOT_CH_PFAM_13,UNSH_CH_PFAM_13,VETS_TOT_13,SH_TOT_VETS_13,UNSH_VETS_13,TOT_08,SH_ES_08,SH_TH_08,SH_SH_08,SH_TOT_08,UNSH_TOT_08,IND_TOT_08,SH_ES_IND_08,SH_TH_IND_08,SH_SH_IND_08,SH_TOT_IND_08,UNSH_IND_08,PFAM_TOT_08,SH_ES_PFAM_08,SH_TH_PFAM_08,SH_TOT_PFAM_08,UNSH_PFAM_08,FAM_TOT_08,SH_ES_FAM_08,SH_TH_FAM_08,SH_TOT_FAM_08,UNSH_FAM_08,CH_IND_TOT_08,SH_TOT_CH_IND_08,UNSH_CH_IND_08,Merger_flag,COCNAME,SHAPE_Length,SHAPE_Area
229,Montgomery City & County CoC,AL-504,Other Urban CoCs,369,173,127,0,300,69,272,146,57,0,203,69,97,27,70,97,0,28,8,20,28,0,63,41,0,41,22,63,41,0,41,22,0,0,0,0,54,43,5,0,48,6,21,14,5,0,19,2,9,8,1,0,9,0,12,6,4,0,10,2,2,0,2,2,0,0,0,0,0,0,2,0,2,2,0,3,0,3,3,0,515,159,240,0,399,116,446,136,194,0,330,116,69,23,46,69,0,21,6,15,21,0,69,11,0,11,58,69,11,0,11,58,0,0,0,0,59,44,15,444,108,219,0,327,117,370,96,166,0,262,108,74,12,53,65,9,26,4,19,23,3,103,38,65,0,Montgomery City & County CoC,6.19147723585154,0.846129032439164
230,Alabama Balance of State CoC,AL-507,Rural CoCs,730,170,270,0,440,290,523,89,250,0,339,184,207,81,20,101,106,63,30,5,35,28,13,4,0,4,9,13,4,0,4,9,0,0,0,0,40,6,19,0,25,15,41,12,5,0,17,24,2,0,1,0,1,1,39,12,4,0,16,23,7,3,0,3,4,0,0,0,0,0,7,3,0,3,4,7,3,0,3,4,905,358,239,0,597,308,572,174,199,0,373,199,333,184,40,224,109,160,87,20,107,53,72,37,0,37,35,42,21,0,21,21,30,16,16,14,41,34,7,858,224,442,0,666,192,692,96,438,0,534,158,166,128,4,132,34,61,46,2,48,13,43,6,37,0,Alabama Balance of State CoC,30.5437403796348,7.98188180621008
231,Fayetteville/Northwest Arkansas CoC,AR-501,Other Urban CoCs,474,107,216,0,323,151,348,70,127,0,197,151,126,37,89,126,0,42,12,30,42,0,42,9,0,9,33,42,9,0,9,33,0,0,0,0,60,11,29,0,40,20,51,13,32,0,45,6,22,6,15,0,21,1,29,7,17,0,24,5,4,3,1,4,0,0,0,0,0,0,4,3,1,4,0,5,4,1,5,0,668,313,133,0,446,222,379,94,108,0,202,177,289,219,25,244,45,98,73,10,83,15,65,27,0,27,38,47,9,0,9,38,18,18,18,0,147,90,57,313,192,81,0,273,40,235,150,53,0,203,32,78,42,28,70,8,47,27,16,43,4,34,25,9,0,Fayetteville/Northwest Arkansas CoC,4.12340724567567,0.859105747990783
232,Southeast Arkansas CoC,AR-505,Rural CoCs,101,85,10,0,95,6,53,43,4,0,47,6,48,42,6,48,0,14,12,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,9,9,0,0,9,0,7,7,0,0,7,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,63,0,0,63,1,34,33,0,0,33,1,30,30,0,30,0,9,9,0,9,0,4,4,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,130,102,18,0,120,10,35,23,9,0,32,3,95,79,9,88,7,24,19,3,22,2,25,25,0,0,Southeast Arkansas CoC,10.7878065796672,2.90985572404048
233,Tucson/Pima County CoC,AZ-501,Major Cities,1380,666,337,14,1017,363,1079,532,174,14,720,359,301,134,163,297,4,104,50,52,102,2,263,164,8,172,91,251,152,8,160,91,12,12,12,0,203,89,67,2,158,45,103,36,31,0,67,36,0,0,0,0,0,0,103,36,31,0,67,36,29,6,23,29,0,0,0,0,0,0,29,6,23,29,0,31,8,23,31,0,2238,801,923,13,1737,501,1602,618,488,13,1119,483,636,183,435,618,18,209,59,142,201,8,360,153,13,166,194,343,140,13,153,190,17,13,13,4,322,249,73,2359,361,890,0,1251,1108,1580,221,387,0,608,972,779,140,503,643,136,286,48,172,220,66,1502,784,718,0,Tucson/Pima County CoC,7.4374726450677,2.2736020531489
234,Arlington County CoC,VA-600,Other Urban CoCs,221,173,13,0,186,35,144,104,5,0,109,35,77,69,8,77,0,28,24,4,28,0,57,30,0,30,27,57,30,0,30,27,0,0,0,0,8,4,2,0,6,2,2,2,0,0,2,0,0,0,0,0,0,0,2,2,0,0,2,0,7,3,4,7,0,0,0,0,0,0,7,3,4,7,0,6,2,4,6,0,479,184,146,3,333,146,268,114,5,3,122,146,211,70,141,211,0,70,24,46,70,0,157,61,3,64,93,156,60,3,63,93,1,1,1,0,14,7,7,410,122,109,0,231,179,284,87,18,0,105,179,126,35,91,126,0,41,12,29,41,0,156,27,129,0,Arlington County CoC,0.492152155880726,0.00755850161190925
235,Fairfax County CoC,VA-601,Suburban CoCs,987,686,215,0,901,86,499,393,20,0,413,86,488,293,195,488,0,151,92,59,151,0,173,119,0,119,54,171,117,0,117,54,2,2,2,0,33,22,0,0,22,11,53,31,20,0,51,2,2,2,0,0,2,0,51,29,20,0,49,2,26,14,12,26,0,0,0,0,0,0,26,14,12,26,0,36,19,17,36,0,1350,699,539,8,1246,104,603,414,77,8,499,104,747,285,462,747,0,230,90,140,230,0,253,161,8,169,84,243,151,8,159,84,10,10,10,0,57,53,4,1835,658,965,0,1623,212,744,395,137,0,532,212,1091,263,828,1091,0,311,74,237,311,0,402,226,176,0,Fairfax County CoC,2.34487477897025,0.10823937548594
236,Alexandria CoC,VA-603,Other Urban CoCs,226,164,35,12,211,15,142,103,12,12,127,15,84,61,23,84,0,29,22,7,29,0,60,40,11,51,9,57,37,11,48,9,3,3,3,0,8,7,1,0,8,0,7,4,2,1,7,0,0,0,0,0,0,0,7,4,2,1,7,0,5,4,1,5,0,0,0,0,0,0,5,4,1,5,0,8,5,3,8,0,275,163,71,12,246,29,185,120,24,12,156,29,90,43,47,90,0,33,15,18,33,0,74,43,10,53,21,69,38,10,48,21,5,5,5,0,11,9,2,306,122,116,0,238,68,194,67,59,0,126,68,112,55,57,112,0,39,18,21,39,0,58,12,46,0,Alexandria CoC,0.363682692984419,0.00409883341281561
237,Vermont Balance of State CoC,VT-500,Rural CoCs,932,734,133,0,867,65,525,376,97,0,473,52,407,358,36,394,13,136,120,12,132,4,118,104,0,104,14,99,89,0,89,10,19,15,15,4,79,26,46,0,72,7,78,41,29,0,70,8,6,3,3,0,6,0,72,38,26,0,64,8,22,20,2,22,0,0,0,0,0,0,22,20,2,22,0,24,19,5,24,0,971,631,231,4,866,105,419,227,109,4,340,79,552,404,122,526,26,198,147,43,190,8,104,85,0,85,19,81,62,0,62,19,23,23,23,0,98,88,10,633,186,253,0,439,194,405,98,142,0,240,165,228,88,111,199,29,79,32,37,69,10,168,88,80,0,Vermont Balance of State CoC,11.3110799348756,2.61697075833901
238,Burlington/Chittenden County CoC,VT-501,Other Urban CoCs,359,295,47,0,342,17,255,205,33,0,238,17,104,90,14,104,0,33,28,5,33,0,42,34,0,34,8,39,31,0,31,8,3,3,3,0,25,8,16,0,24,1,23,19,4,0,23,0,0,0,0,0,0,0,23,19,4,0,23,0,11,10,1,11,0,0,0,0,0,0,11,10,1,11,0,12,11,1,12,0,483,328,76,0,404,79,282,152,55,0,207,75,201,176,21,197,4,64,56,7,63,1,113,55,0,55,58,102,48,0,48,54,11,7,7,4,30,23,7,321,125,132,0,257,64,222,83,78,0,161,61,99,42,54,96,3,41,12,28,40,1,66,27,39,0,Burlington/Chittenden County CoC,2.14188486208825,0.181377648468212
