OBJECTID,L0Continuum_of_Care_Grantee_Are,COCNUM,COCCAT,TOT_18,SH_ES_18,SH_TH_18,SH_SH_18,SH_TOT_18,UNSH_TOT_18,IND_TOT_18,SH_ES_IND_18,SH_TH_IND_18,SH_SH_IND_18,SH_TOT_IND_18,UNSH_IND_18,PFAM_TOT_18,SH_ES_PFAM_18,SH_TH_PFAM_18,SH_TOT_PFAM_18,UNSH_PFAM_18,FAM_TOT_18,SH_ES_FAM_18,SH_TH_FAM_18,SH_TOT_FAM_18,UNSH_FAM_18,CH_TOT_18,SH_ES_CH_18,SH_SH_CH_18,SH_TOT_CH_18,UNSH_CH_18,CH_IND_TOT_18,SH_ES_CH_IND_18,SH_SH_CH_IND_18,SH_TOT_CH_IND_18,UNSH_CH_IND_18,CH_PFAM_TOT_18,SH_ES_CH_PFAM_18,SH_TOT_CH_PFAM_18,UNSH_CH_PFAM_18,VETS_TOT_18,SH_ES_VETS_18,SH_TH_VETS_18,SH_SH_VETS_18,SH_TOT_VETS_18,UNSH_VETS_18,UY_TOT_18,SH_ES_UY_18,SH_TH_UY_18,SH_SH_UY_18,SH_TOT_UY_18,UNSH_UY_18,UYLT18_TOT_18,SH_ES_UYLT18_18,SH_TH_UYLT18_18,SH_SH_UYLT18_18,SH_TOT_UYLT18_18,UNSH_UYLT18_18,UY1824_TOT_18,SH_ES_UY1824_18,SH_TH_UY1824_18,SH_SH_UY1824_18,SH_TOT_UY1824_18,UNSH_UY1824_18,PY_TOT_18,SH_ES_PY_18,SH_TH_PY_18,SH_TOT_PY_18,UNSH_PY_18,PYLT18_TOT_18,SH_ES_PYLT18_18,SH_TH_PYLT18_18,SH_TOT_PYLT18_18,UNSH_PYLT18_18,PY1824_TOT_18,SH_ES_PY1824_18,SH_TH_PY1824_18,SH_TOT_PY1824_18,UNSH_PY1824_18,CPY_TOT_18,SH_ES_CPY_18,SH_TH_CPY_18,SH_TOT_CPY_18,UNSH_CPY_18,TOT_13,SH_ES_13,SH_TH_13,SH_SH_13,SH_TOT_13,UNSH_TOT_13,IND_TOT_13,SH_ES_IND_13,SH_TH_IND_13,SH_SH_IND_13,SH_TOT_IND_13,UNSH_IND_13,PFAM_TOT_13,SH_ES_PFAM_13,SH_TH_PFAM_13,SH_TOT_PFAM_13,UNSH_PFAM_13,FAM_TOT_13,SH_ES_FAM_13,SH_TH_FAM_13,SH_TOT_FAM_13,UNSH_FAM_13,CH_TOT_13,SH_ES_CH_13,SH_SH_CH_13,SH_TOT_CH_13,UNSH_CH_13,CH_IND_TOT_13,SH_ES_CH_IND_13,SH_SH_CH_IND_13,SH_TOT_CH_IND_13,UNSH_CH_IND_13,CH_PFAM_TOT_13,SH_ES_CH_PFAM_13,SH_TOT_CH_PFAM_13,UNSH_CH_PFAM_13,VETS_TOT_13,SH_TOT_VETS_13,UNSH_VETS_13,TOT_08,SH_ES_08,SH_TH_08,SH_SH_08,SH_TOT_08,UNSH_TOT_08,IND_TOT_08,SH_ES_IND_08,SH_TH_IND_08,SH_SH_IND_08,SH_TOT_IND_08,UNSH_IND_08,PFAM_TOT_08,SH_ES_PFAM_08,SH_TH_PFAM_08,SH_TOT_PFAM_08,UNSH_PFAM_08,FAM_TOT_08,SH_ES_FAM_08,SH_TH_FAM_08,SH_TOT_FAM_08,UNSH_FAM_08,CH_IND_TOT_08,SH_TOT_CH_IND_08,UNSH_CH_IND_08,Merger_flag,COCNAME,SHAPE_Length,SHAPE_Area
1,"Aurora, Elgin/Kane County CoC",IL-517,Suburban CoCs,430,337,68,0,405,25,318,280,13,0,293,25,112,57,55,112,0,32,19,13,32,0,145,130,0,130,15,123,108,0,108,15,22,22,22,0,22,20,2,0,22,0,22,21,1,0,22,0,1,1,0,0,1,0,21,20,1,0,21,0,4,3,1,4,0,0,0,0,0,0,4,3,1,4,0,5,3,2,5,0,451,285,120,0,405,46,344,248,50,0,298,46,107,37,70,107,0,32,13,19,32,0,109,88,0,88,21,103,82,0,82,21,6,6,6,0,37,31,6,474,275,143,0,418,56,356,224,76,0,300,56,118,51,67,118,0,36,16,20,36,0,245,212,33,0,"Aurora, Elgin/Kane County CoC",2.76296867116531,0.154213116430706
2,Southern Illinois CoC,IL-520,Rural CoCs,282,156,78,0,234,48,144,79,27,0,106,38,138,77,51,128,10,55,28,24,52,3,31,16,0,16,15,25,10,0,10,15,6,6,6,0,11,1,4,0,5,6,22,11,5,0,16,6,1,1,0,0,1,0,21,10,5,0,15,6,10,7,3,10,0,0,0,0,0,0,10,7,3,10,0,12,8,4,12,0,338,159,104,0,263,75,160,81,40,0,121,39,178,78,64,142,36,59,28,21,49,10,35,11,0,11,24,22,7,0,7,15,13,4,4,9,23,20,3,870,562,234,0,796,74,416,276,82,0,358,58,454,286,152,438,16,123,83,34,117,6,159,113,46,0,Southern Illinois CoC,12.6751326785504,2.95502622060299
3,Wichita/Sedgwick County CoC,KS-502,Major Cities,573,393,118,4,515,58,421,292,67,4,363,58,152,101,51,152,0,45,29,16,45,0,33,17,3,20,13,33,17,3,20,13,0,0,0,0,58,47,7,0,54,4,48,30,13,0,43,5,4,0,4,0,4,0,44,30,9,0,39,5,7,5,2,7,0,0,0,0,0,0,7,5,2,7,0,12,10,2,12,0,538,321,137,9,467,71,360,241,39,9,289,71,178,80,98,178,0,49,21,28,49,0,91,62,5,67,24,91,62,5,67,24,0,0,0,0,56,48,8,473,331,114,0,445,28,342,270,47,0,317,25,131,61,67,128,3,46,22,23,45,1,93,85,8,0,Wichita/Sedgwick County CoC,2.19152455781483,0.266963908571989
4,Kansas Balance of State CoC,KS-507,Rural CoCs,918,499,258,0,757,161,581,343,77,0,420,161,337,156,181,337,0,91,44,47,91,0,82,56,0,56,26,78,52,0,52,26,4,4,4,0,58,52,0,0,52,6,54,37,6,0,43,11,3,3,0,0,3,0,51,34,6,0,40,11,9,4,5,9,0,0,0,0,0,0,9,4,5,9,0,16,5,11,16,0,1141,537,522,0,1059,82,645,288,280,0,568,77,496,249,242,491,5,182,88,92,180,2,129,91,0,91,38,100,62,0,62,38,29,29,29,0,231,221,10,524,238,245,0,483,41,373,145,190,0,335,38,151,93,55,148,3,45,28,16,44,1,18,12,6,1,Kansas Balance of State CoC,26.0850690220943,21.4163681049409
5,Lafayette/Acadiana Regional CoC,LA-500,Rural CoCs,363,120,70,0,190,173,284,74,39,0,113,171,79,46,31,77,2,24,15,8,23,1,64,18,0,18,46,61,15,0,15,46,3,3,3,0,26,9,11,0,20,6,14,5,2,0,7,7,0,0,0,0,0,0,14,5,2,0,7,7,3,3,0,3,0,0,0,0,0,0,3,3,0,3,0,5,5,0,5,0,542,165,268,0,433,109,358,120,129,0,249,109,184,45,139,184,0,58,14,44,58,0,83,31,0,31,52,71,31,0,31,40,12,0,0,12,62,47,15,631,159,298,0,457,174,305,70,144,0,214,91,326,89,154,243,83,104,26,53,79,25,47,16,31,0,Lafayette/Acadiana Regional CoC,12.463945361841,1.44965469775031
6,Slidell/Southeast Louisiana CoC,LA-506,Suburban CoCs,194,34,101,0,135,59,174,19,101,0,120,54,20,15,0,15,5,7,5,0,5,2,25,2,0,2,23,25,2,0,2,23,0,0,0,0,42,1,34,0,35,7,10,1,6,0,7,3,0,0,0,0,0,0,10,1,6,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,86,155,0,241,35,151,60,62,0,122,29,125,26,93,119,6,35,8,25,33,2,31,25,0,25,6,31,25,0,25,6,0,0,0,0,49,47,2,522,98,112,0,210,312,241,40,34,0,74,167,281,58,78,136,145,91,21,24,45,46,44,10,34,0,Slidell/Southeast Louisiana CoC,6.24623555867974,0.904732302929542
7,Alexandria/Central Louisiana CoC,LA-507,Rural CoCs,177,70,54,0,124,53,152,63,36,0,99,53,25,7,18,25,0,9,3,6,9,0,28,10,0,10,18,28,10,0,10,18,0,0,0,0,26,21,3,0,24,2,2,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,1,2,1,1,2,0,0,0,0,0,0,2,1,1,2,0,3,1,2,3,0,118,38,49,0,87,31,92,38,25,0,63,29,26,0,24,24,2,7,0,6,6,1,9,3,0,3,6,7,3,0,3,4,2,0,0,2,24,22,2,128,47,46,0,93,35,92,40,22,0,62,30,36,7,24,31,5,15,2,11,13,2,25,7,18,0,Alexandria/Central Louisiana CoC,9.57937509278959,1.8030788425532
8,Boston CoC,MA-500,Major Cities,6188,5427,566,32,6025,163,2535,1892,448,32,2372,163,3653,3535,118,3653,0,1121,1075,46,1121,0,724,690,5,695,29,504,470,5,475,29,220,220,220,0,275,93,157,18,268,7,151,106,37,0,143,8,0,0,0,0,0,0,151,106,37,0,143,8,194,190,4,194,0,19,17,2,19,0,175,173,2,175,0,376,372,4,376,0,5881,4334,1338,16,5688,193,2541,1377,955,16,2348,193,3340,2957,383,3340,0,1164,992,172,1164,0,543,491,3,494,49,465,413,3,416,49,78,78,78,0,458,446,12,5198,3275,1739,0,5014,184,2683,1368,1131,0,2499,184,2515,1907,608,2515,0,885,647,238,885,0,915,834,81,0,Boston CoC,1.8686968610428,0.0140256728506342
9,Lincoln CoC,NE-502,Other Urban CoCs,451,344,62,0,406,45,296,216,37,0,253,43,155,128,25,153,2,54,41,12,53,1,73,48,0,48,25,69,46,0,46,23,4,2,2,2,16,15,1,0,16,0,28,20,7,0,27,1,6,4,2,0,6,0,22,16,5,0,21,1,11,5,6,11,0,0,0,0,0,0,11,5,6,11,0,17,11,6,17,0,956,349,504,0,853,103,599,220,276,0,496,103,357,129,228,357,0,108,38,70,108,0,129,86,0,86,43,114,71,0,71,43,15,15,15,0,67,52,15,1151,428,437,0,865,286,708,267,244,0,511,197,443,161,193,354,89,179,42,69,111,68,79,74,5,0,Lincoln CoC,1.95227515540024,0.0263080851540076
10,Anchorage CoC,AK-500,Other Urban CoCs,1094,751,249,0,1000,94,814,618,102,0,720,94,280,133,147,280,0,87,39,48,87,0,177,150,0,150,27,163,136,0,136,27,14,14,14,0,62,50,8,0,58,4,97,55,39,0,94,3,5,5,0,0,5,0,92,50,39,0,89,3,15,6,9,15,0,1,0,1,1,0,14,6,8,14,0,14,5,9,14,0,1122,676,394,0,1070,52,844,553,239,0,792,52,278,123,155,278,0,87,38,49,87,0,89,68,0,68,21,83,62,0,62,21,6,6,6,0,144,138,6,1023,535,386,0,921,102,695,357,239,0,596,99,328,178,147,325,3,84,42,41,83,1,300,239,61,0,Anchorage CoC,5.06020966427563,0.748158041463637
11,Cumberland/Allegany County CoC,MD-500,Suburban CoCs,79,30,25,0,55,24,38,14,3,0,17,21,41,16,22,38,3,15,6,8,14,1,5,0,0,0,5,5,0,0,0,5,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,0,2,2,0,3,0,3,3,0,76,20,44,0,64,12,34,16,6,0,22,12,42,4,38,42,0,14,2,12,14,0,8,2,0,2,6,4,1,0,1,3,4,1,1,3,4,4,0,132,33,50,0,83,49,36,15,7,0,22,14,96,18,43,61,35,42,8,14,22,20,17,8,9,0,Cumberland/Allegany County CoC,2.69869155310329,0.116804254324416
12,Alaska Balance of State CoC,AK-501,Rural CoCs,922,497,210,0,707,215,620,335,118,0,453,167,302,162,92,254,48,106,61,27,88,18,180,125,0,125,55,160,107,0,107,53,20,18,18,2,70,37,15,0,52,18,66,31,25,0,56,10,3,3,0,0,3,0,63,28,25,0,53,10,11,8,1,9,2,0,0,0,0,0,11,8,1,9,2,12,9,1,10,2,824,461,210,0,671,153,518,282,134,0,416,102,306,179,76,255,51,109,67,28,95,14,95,70,0,70,25,83,62,0,62,21,12,8,8,4,66,50,16,623,312,219,0,531,92,372,200,116,0,316,56,251,112,103,215,36,88,41,34,75,13,139,116,23,0,Alaska Balance of State CoC,845.282896700257,278.741662748833
13,Florence/Northwest Alabama CoC,AL-502,Rural CoCs,256,128,106,0,234,22,166,63,81,0,144,22,90,65,25,90,0,41,29,12,41,0,136,122,0,122,14,77,63,0,63,14,59,59,59,0,8,0,0,0,0,8,17,0,16,0,16,1,16,0,16,0,16,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,22,175,0,197,26,133,11,105,0,116,17,90,11,70,81,9,24,3,19,22,2,30,10,0,10,20,14,5,0,5,9,16,5,5,11,2,0,2,249,27,151,0,178,71,173,9,119,0,128,45,76,18,32,50,26,23,3,12,15,8,5,2,3,0,Florence/Northwest Alabama CoC,4.50047850224406,1.03752581873717
14,Tuscaloosa City & County CoC,AL-506,Other Urban CoCs,57,35,21,0,56,1,35,24,10,0,34,1,22,11,11,22,0,8,4,4,8,0,4,4,0,4,0,4,4,0,4,0,0,0,0,0,10,1,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,99,11,84,0,95,4,72,9,59,0,68,4,27,2,25,27,0,6,1,5,6,0,9,5,0,5,4,9,5,0,5,4,0,0,0,0,66,66,0,196,33,159,0,192,4,170,31,135,0,166,4,26,2,24,26,0,11,1,10,11,0,25,21,4,0,Tuscaloosa City & County CoC,2.89421450361344,0.338765008400546
15,New Bedford CoC,MA-505,Suburban CoCs,409,262,98,0,360,49,222,86,87,0,173,49,187,176,11,187,0,57,52,5,57,0,29,12,0,12,17,23,6,0,6,17,6,6,6,0,52,5,45,0,50,2,15,6,8,0,14,1,2,1,0,0,1,1,13,5,8,0,13,0,14,11,3,14,0,0,0,0,0,0,14,11,3,14,0,19,17,2,19,0,337,105,213,0,318,19,230,49,165,0,214,16,107,56,48,104,3,48,28,19,47,1,32,25,0,25,7,32,25,0,25,7,0,0,0,0,51,50,1,380,123,176,0,299,81,279,49,149,0,198,81,101,74,27,101,0,48,36,12,48,0,27,27,0,0,New Bedford CoC,0.518647306126006,0.00568056583557342
16,Lowell CoC,MA-508,Suburban CoCs,783,689,68,0,757,26,218,158,34,0,192,26,565,531,34,565,0,166,155,11,166,0,75,75,0,75,0,10,10,0,10,0,65,65,65,0,30,3,25,0,28,2,10,7,0,0,7,3,0,0,0,0,0,0,10,7,0,0,7,3,25,23,2,25,0,0,0,0,0,0,25,23,2,25,0,35,28,7,35,0,559,428,106,0,534,25,218,154,39,0,193,25,341,274,67,341,0,117,89,28,117,0,67,47,0,47,20,34,14,0,14,20,33,33,33,0,48,48,0,398,160,230,0,390,8,208,124,76,0,200,8,190,36,154,190,0,73,14,59,73,0,84,76,8,0,Lowell CoC,0.304933575106049,0.00412930505883345
17,Arkansas Balance of State CoC,AR-503,Rural CoCs,768,243,66,0,309,459,666,170,54,0,224,442,102,73,12,85,17,35,26,4,30,5,107,21,0,21,86,107,21,0,21,86,0,0,0,0,31,14,0,0,14,17,92,16,3,0,19,73,0,0,0,0,0,0,92,16,3,0,19,73,2,2,0,2,0,0,0,0,0,0,2,2,0,2,0,3,3,0,3,0,1760,376,94,0,470,1290,1603,266,82,0,348,1255,157,110,12,122,35,51,35,5,40,11,114,53,0,53,61,112,53,0,53,59,2,0,0,2,46,27,19,,,,,,,,,,,,,,,,,,,,,,,,,,1,Arkansas Balance of State CoC,23.4376528330474,4.21355708158148
18,Delta Hills CoC,AR-504,Rural CoCs,57,16,10,6,32,25,51,16,10,6,32,19,6,0,0,0,6,2,0,0,0,2,18,5,4,9,9,15,5,4,9,6,3,0,0,3,11,11,0,0,11,0,2,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,41,81,0,122,132,172,30,81,0,111,61,82,11,0,11,71,33,3,0,3,30,46,18,0,18,28,38,16,0,16,22,8,2,2,6,9,5,4,817,101,273,0,374,443,626,80,267,0,347,279,191,21,6,27,164,127,13,4,17,110,327,142,185,0,Delta Hills CoC,13.7408476411692,3.05445033762552
19,Arizona Balance of State CoC,AZ-500,Rural CoCs,2187,850,252,0,1102,1085,1638,531,133,0,664,974,549,319,119,438,111,169,101,37,138,31,537,59,0,59,478,530,59,0,59,471,7,0,0,7,277,48,59,0,107,170,120,53,4,0,57,63,10,10,0,0,10,0,110,43,4,0,47,63,11,0,2,2,9,1,0,1,1,0,10,0,1,1,9,13,0,5,5,8,2435,915,471,0,1386,1049,1448,403,172,0,575,873,987,512,299,811,176,281,121,109,230,51,329,168,0,168,161,239,120,0,120,119,90,48,48,42,389,264,125,2940,510,446,0,956,1984,2162,262,197,0,459,1703,778,248,249,497,281,280,89,75,164,116,408,76,332,0,Arizona Balance of State CoC,33.5097618689521,24.3290476384707
20,San Francisco CoC,CA-501,Major Cities,6857,2011,474,19,2504,4353,6211,1591,268,19,1878,4333,646,420,206,626,20,247,155,86,241,6,1757,174,5,179,1578,1732,152,5,157,1575,25,22,22,3,656,147,134,19,300,356,1292,42,126,0,168,1124,103,9,0,0,9,94,1189,33,126,0,159,1030,157,90,60,150,7,0,0,0,0,0,157,90,60,150,7,189,124,60,184,5,7008,1919,720,54,2693,4315,6329,1545,448,54,2047,4282,679,374,272,646,33,229,121,97,218,11,2093,583,0,583,1510,1977,483,0,483,1494,116,100,100,16,716,294,422,5171,1818,582,0,2400,2771,4639,1496,392,0,1888,2751,532,322,190,512,20,194,113,73,186,8,1735,738,997,0,San Francisco CoC,1.22589975538983,0.012552182099039
21,Richmond/Contra Costa County CoC,CA-505,Suburban CoCs,2234,552,145,0,697,1537,1955,419,104,0,523,1432,279,133,41,174,105,89,40,15,55,34,555,186,0,186,369,492,162,0,162,330,63,24,24,39,102,45,11,0,56,46,133,22,16,0,38,95,0,0,0,0,0,0,133,22,16,0,38,95,8,6,0,6,2,0,0,0,0,0,8,6,0,6,2,12,9,0,9,3,2000,414,257,0,671,1329,1703,300,74,0,374,1329,297,114,183,297,0,102,41,61,102,0,754,160,0,160,594,714,141,0,141,573,40,19,19,21,188,53,135,4062,522,381,0,903,3159,2892,225,107,0,332,2560,1170,297,274,571,599,344,129,69,198,146,1225,88,1137,0,Richmond/Contra Costa County CoC,3.06312841188333,0.201305316344461
22,Watsonville/Santa Cruz City & County CoC,CA-508,Suburban CoCs,2320,320,201,0,521,1799,1911,204,77,0,281,1630,409,116,124,240,169,134,38,42,80,54,634,111,0,111,523,563,96,0,96,467,71,15,15,56,245,27,1,0,28,217,614,14,27,0,41,573,169,10,0,0,10,159,445,4,27,0,31,414,20,6,4,10,10,2,2,0,2,0,18,4,4,8,10,27,10,4,14,13,3536,402,239,0,641,2895,2992,253,45,0,298,2694,544,149,194,343,201,165,39,65,104,61,989,74,0,74,915,957,74,0,74,883,32,0,0,32,395,52,343,2789,284,202,0,486,2303,2408,183,78,0,261,2147,381,101,124,225,156,127,32,42,74,53,1161,68,1093,0,Watsonville/Santa Cruz City & County CoC,2.36571992936439,0.117203379600719
23,Stockton/San Joaquin County CoC,CA-511,Other Urban CoCs,1685,927,191,0,1118,567,1054,395,110,0,505,549,631,532,81,613,18,187,155,27,182,5,262,138,0,138,124,224,100,0,100,124,38,38,38,0,96,31,33,0,64,32,58,19,10,0,29,29,3,3,0,0,3,0,55,16,10,0,26,29,19,14,3,17,2,0,0,0,0,0,19,14,3,17,2,25,19,3,22,3,1541,760,518,0,1278,263,794,480,76,0,556,238,747,280,442,722,25,230,93,129,222,8,204,137,0,137,67,178,114,0,114,64,26,23,23,3,83,61,22,2354,1614,437,0,2051,303,1532,1279,13,0,1292,240,822,335,424,759,63,264,94,131,225,39,202,144,58,0,Stockton/San Joaquin County CoC,3.54032278874596,0.376672010799427
24,"Roseville, Rocklin/Placer, Nevada Counties CoC",CA-515,Suburban CoCs,950,367,125,0,492,458,766,287,44,0,331,435,184,80,81,161,23,58,24,26,50,8,327,162,0,162,165,303,138,0,138,165,24,24,24,0,55,30,1,0,31,24,56,9,6,0,15,41,0,0,0,0,0,0,56,9,6,0,15,41,8,1,6,7,1,0,0,0,0,0,8,1,6,7,1,11,1,9,10,1,908,196,189,0,385,523,689,130,81,0,211,478,219,66,108,174,45,77,20,41,61,16,222,39,0,39,183,202,35,0,35,167,20,4,4,16,92,32,60,587,62,388,0,450,137,368,52,192,0,244,124,219,10,196,206,13,60,3,53,56,4,48,22,26,1,"Roseville, Rocklin/Placer, Nevada Counties CoC",4.80276943436519,0.66833000227938
25,Vallejo/Solano County CoC,CA-518,Other Urban CoCs,1129,144,68,0,212,917,1052,122,44,0,166,886,77,22,24,46,31,28,7,12,19,9,461,87,0,87,374,441,70,0,70,371,20,17,17,3,124,7,12,0,19,105,218,15,24,0,39,179,18,0,0,0,0,18,200,15,24,0,39,161,10,0,8,8,2,0,0,0,0,0,10,0,8,8,2,11,0,8,8,3,1329,193,247,0,440,889,1163,139,187,0,326,837,166,54,60,114,52,70,21,28,49,21,414,109,0,109,305,291,102,0,102,189,123,7,7,116,88,55,33,1956,270,187,0,457,1499,818,109,116,0,225,593,1138,161,71,232,906,475,81,32,113,362,524,31,493,0,Vallejo/Solano County CoC,2.75999492125132,0.237211793133368
26,Merced City & County CoC,CA-520,Suburban CoCs,514,104,98,0,202,312,456,57,98,0,155,301,58,47,0,47,11,17,13,0,13,4,148,18,0,18,130,148,18,0,18,130,0,0,0,0,13,2,1,0,3,10,34,13,0,0,13,21,0,0,0,0,0,0,34,13,0,0,13,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,86,31,0,117,255,345,69,21,0,90,255,27,17,10,27,0,11,7,4,11,0,181,59,0,59,122,181,59,0,59,122,0,0,0,0,26,6,20,2455,99,36,0,135,2320,2072,79,21,0,100,1972,383,20,15,35,348,111,6,4,10,101,728,27,701,0,Merced City & County CoC,3.54695338726931,0.520040039781831
27,Humboldt County CoC,CA-522,Rural CoCs,703,188,81,0,269,434,605,149,55,0,204,401,98,39,26,65,33,32,13,8,21,11,363,95,0,95,268,349,89,0,89,260,14,6,6,8,106,34,32,0,66,40,70,6,20,0,26,44,13,5,8,0,13,0,57,1,12,0,13,44,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,0,0,2,864,55,125,0,180,684,600,27,70,0,97,503,264,28,55,83,181,64,9,17,26,38,276,26,0,26,250,138,11,0,11,127,138,15,15,123,129,49,80,907,172,150,0,322,585,366,87,52,0,139,227,541,85,98,183,358,146,27,30,57,89,219,29,190,0,Humboldt County CoC,6.25318876318352,0.988781048472423
28,Somerset County CoC,NJ-513,Suburban CoCs,218,63,149,0,212,6,152,21,125,0,146,6,66,42,24,66,0,25,15,10,25,0,5,3,0,3,2,5,3,0,3,2,0,0,0,0,87,0,86,0,86,1,21,5,15,0,20,1,2,2,0,0,2,0,19,3,15,0,18,1,5,3,2,5,0,0,0,0,0,0,5,3,2,5,0,6,2,4,6,0,312,188,116,0,304,8,197,89,105,0,194,3,115,99,11,110,5,42,37,3,40,2,39,39,0,39,0,33,33,0,33,0,6,6,6,0,99,99,0,302,100,185,0,285,17,177,47,116,0,163,14,125,53,69,122,3,36,16,19,35,1,12,7,5,0,Somerset County CoC,1.7047960171599,0.0839210740640979
29,Elizabeth/Union County CoC,NJ-515,Suburban CoCs,478,313,124,0,437,41,209,159,20,0,179,30,269,154,104,258,11,88,52,33,85,3,43,38,0,38,5,23,18,0,18,5,20,20,20,0,7,5,1,0,6,1,15,9,5,0,14,1,1,1,0,0,1,0,14,8,5,0,13,1,16,6,9,15,1,0,0,0,0,0,16,6,9,15,1,20,7,11,18,2,1648,336,1265,0,1601,47,526,193,297,0,490,36,1122,143,968,1111,11,371,55,313,368,3,27,21,0,21,6,20,14,0,14,6,7,7,7,0,14,13,1,1188,347,725,0,1072,116,423,190,129,0,319,104,765,157,596,753,12,272,41,229,270,2,79,46,33,0,Elizabeth/Union County CoC,1.03451700178343,0.0286929339973675
30,Albuquerque CoC,NM-500,Major Cities,1340,711,245,0,956,384,1115,568,179,0,747,368,225,143,66,209,16,69,42,22,64,5,421,251,0,251,170,381,220,0,220,161,40,31,31,9,169,70,58,0,128,41,118,63,29,0,92,26,53,44,8,0,52,1,65,19,21,0,40,25,3,2,1,3,0,0,0,0,0,0,3,2,1,3,0,4,3,1,4,0,1171,619,408,0,1027,144,817,502,173,0,675,142,354,117,235,352,2,122,40,81,121,1,233,166,0,166,67,225,160,0,160,65,8,6,6,2,170,145,25,1276,473,516,0,989,287,821,402,204,0,606,215,455,71,312,383,72,147,24,100,124,23,159,78,81,0,Albuquerque CoC,3.84207290241663,0.0485229674908636
31,New Mexico Balance of State CoC,NM-501,Rural CoCs,1211,657,142,0,799,412,834,453,31,0,484,350,377,204,111,315,62,132,78,32,110,22,470,289,0,289,181,433,267,0,267,166,37,22,22,15,121,42,7,0,49,72,64,33,14,0,47,17,20,17,3,0,20,0,44,16,11,0,27,17,10,4,6,10,0,0,0,0,0,0,10,4,6,10,0,13,5,8,13,0,1648,876,488,0,1364,284,969,596,140,0,736,233,679,280,348,628,51,201,83,100,183,18,292,140,0,140,152,174,80,0,80,94,118,60,60,58,73,38,35,1739,485,274,0,759,980,1040,341,116,0,457,583,699,144,158,302,397,220,48,54,102,118,552,167,385,0,New Mexico Balance of State CoC,27.5264534134117,30.8442372785296
32,El Dorado County CoC,CA-525,Suburban CoCs,645,111,38,0,149,496,477,96,23,0,119,358,168,15,15,30,138,65,7,5,12,53,211,0,0,0,211,145,0,0,0,145,66,0,0,66,82,0,0,0,0,82,41,18,1,0,19,22,12,12,0,0,12,0,29,6,1,0,7,22,2,1,1,2,0,0,0,0,0,0,2,1,1,2,0,2,1,1,2,0,180,27,104,0,131,49,141,21,75,0,96,45,39,6,29,35,4,17,2,13,15,2,55,17,0,17,38,47,11,0,11,36,8,6,6,2,6,5,1,150,49,26,0,75,75,128,39,14,0,53,75,22,10,12,22,0,7,3,4,7,0,12,7,5,0,El Dorado County CoC,3.79226402634208,0.479623361015065
33,Lake County CoC,CA-529,Rural CoCs,615,12,12,0,24,591,547,7,6,0,13,534,68,5,6,11,57,30,2,3,5,25,82,4,0,4,78,75,0,0,0,75,7,4,4,3,12,0,1,0,1,11,33,0,1,0,1,32,6,0,0,0,0,6,27,0,1,0,1,26,5,2,3,5,0,0,0,0,0,0,5,2,3,5,0,6,3,3,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Lake County CoC,3.69598657986441,0.358536185890731
34,Santa Maria/Santa Barbara County CoC,CA-603,Suburban CoCs,1706,618,195,0,813,893,1335,490,106,0,596,739,371,128,89,217,154,117,39,30,69,48,307,207,0,207,100,234,192,0,192,42,73,15,15,58,104,35,20,0,55,49,142,23,21,0,44,98,34,1,0,0,1,33,108,22,21,0,43,65,11,4,7,11,0,1,1,0,1,0,10,3,7,10,0,15,6,9,15,0,1882,471,433,0,904,978,1464,335,261,0,596,868,418,136,172,308,110,122,35,53,88,34,913,379,0,379,534,693,257,0,257,436,220,122,122,98,124,48,76,4253,554,926,0,1480,2773,3212,281,430,0,711,2501,1041,273,496,769,272,245,81,97,178,67,503,244,259,0,Santa Maria/Santa Barbara County CoC,7.04607483988501,0.700852471257395
